Road,Suburb,Reason Code ,Effective Date ,
Queen Street,ALTONA,A,1 October 2024,
Dohertys Road,ALTONA NORTH,A,1 October 2024,
Grieve Parade,ALTONA NORTH,A,1 October 2024,
Taylor Street,ASCOT,A,1 October 2024,
Taylor Street,ASCOT,A,1 October 2024,
Wells Road,ASPENDALE GARDENS,A,1 October 2024,
Gillies Road,BALD HILLS,A,1 October 2024,
Creswick Road,BALLARAT CENTRAL,A,1 October 2024,
Anzac Parade,BANDIANA,"A,C",1 October 2024,
Thompson Road,BANGHOLME,A,1 October 2024,
Worsley Road,BANGHOLME,A,1 October 2024,
Kiewa Valley Highway,BARANDUDA,"B,C",1 October 2024,
Baranduda Boulevard,BARANDUDA,"A,C",1 October 2024,
Baranduda Boulevard,BARANDUDA,"A,C",1 October 2024,
Murray Valley Highway,BARAWARTHA,"A,C",1 October 2024,
Hamilton Highway,BERRYBANK,A,1 October 2024,
Clyde Road,BERWICK,A,1 October 2024,
Clyde Road,BERWICK,A,1 October 2024,
Princes Highway,BERWICK,A,1 October 2024,
Lithgow Street,BEVERIDGE,A,1 October 2024,
Northern Highway Offramp,BEVERIDGE,A,1 October 2024,
Chisholm Street,BLACK HILL,A,1 October 2024,
Boundary Road,BRAESIDE,A,1 October 2024,
Boundary Road,BRAESIDE,A,1 October 2024,
Esplanade,BRIGHTON,A,1 October 2024,
Nepean Highway,BRIGHTON EAST,A,1 October 2024,
Hamilton Street,BROADFORD,A,1 October 2024,
High Street,BROADFORD,A,1 October 2024,
Brooklyn Road,BROOKFIELD,A,1 October 2024,
Black Dog Drive,BROOKFIELD,A,1 October 2024,
Geelong Road,BROOKLYN,A,1 October 2024,
Humffray Street N,BROWN HILL,A,1 October 2024,
Bulla Road,BULLA,A,1 October 2024,
Barmah-Shepparton Road,BUNBARTHA,A,1 October 2024,
Goulburn Valley Highway,BUNDALONG,C,1 October 2024,
Goulburn Valley Highway,BUNDALONG,C,1 October 2024,
Plenty Road,BUNDOORA,A,1 October 2024,
Plenty Road,BUNDOORA,A,1 October 2024,
Plenty Road,BUNDOORA,A,1 October 2024,
Kingsbury Drive,BUNDOORA,A,1 October 2024,
Kingsbury Drive,BUNDOORA,A,1 October 2024,
Snake Gully Drive,BUNDOORA,"A,C",1 October 2024,
Princes Freeway,BUNYIP NORTH,A,1 October 2024,
Westwood Drive,BURNSIDE,A,1 October 2024,
Sydney Road,CAMPBELLFIELD,A,1 October 2024,
Main Road,CAMPBELLS CREEK,A,1 October 2024,
Truemans Road,CAPEL SOUND,A,1 October 2024,
Victoria Street,CARISBROOK,A,1 October 2024,
Cobb And Co Road,CARLSRUHE,A,1 October 2024,
Westwood Drive,CAROLINE SPRINGS,A,1 October 2024,
Rockbank Middle Road,CAROLINE SPRINGS,A,1 October 2024,
Rockbank Middle Road,CAROLINE SPRINGS,A,1 October 2024,
Western Highway,CAROLINE SPRINGS,A,1 October 2024,
Kennedy Street,CASTLEMAINE,A,1 October 2024,
Bowden Street,CASTLEMAINE,A,1 October 2024,
Hargraves Street,CASTLEMAINE,A,1 October 2024,
Queens Avenue,CAULFIELD EAST,B,1 October 2024,
Dandenong Road,CAULFIELD NORTH,B,1 October 2024,
Batesford Road,CHADSTONE,A,1 October 2024,
Warrigal Road,CHADSTONE,B,1 October 2024,
Nepean Highway,CHELSEA,A,1 October 2024,
Wells Road,CHELSEA HEIGHTS,A,1 October 2024,
Dingley Bypass,CLARINDA,A,1 October 2024,
Dingley Bypass,CLARINDA,A,1 October 2024,
Ferntree Gully Road,CLAYTON,A,1 October 2024,
Wellington Road,CLAYTON,A,1 October 2024,
South Gippsland Highway,CLYDE,A,1 October 2024,
Goulburn Valley Highway,COBRAM,"A,C",1 October 2024,
Goulburn Valley Highway,COBRAM,"A,C",1 October 2024,
Goulburn Valley Highway,COBRAM,C,1 October 2024,
Goulburn Valley Highway,COBRAM,C,1 October 2024,
Maroondah Highway,COLDSTREAM,A,1 October 2024,
Maroondah Highway,COLDSTREAM,A,1 October 2024,
Maroondah Highway,COLDSTREAM,A,1 October 2024,
Pascoe Vale Road,COOLAROO,A,1 October 2024,
Purnell Road,CORIO,A,1 October 2024,
Bacchus Marsh Road,CORIO,A,1 October 2024,
Bacchus Marsh Road,CORIO,A,1 October 2024,
Bacchus Marsh Road,CORIO,A,1 October 2024,
South Gippsland Highway,DANDENONG SOUTH,A,1 October 2024,
Dingley Bypass,DINGLEY VILLAGE,A,1 October 2024,
Dingley Bypass,DINGLEY VILLAGE,A,1 October 2024,
Melba Highway,DIXONS CREEK,A,1 October 2024,
Melba Highway,DIXONS CREEK,A,1 October 2024,
Mornington Peninsula Freeway,DROMANA,A,1 October 2024,
Ryrie Street,EAST GEELONG,A,1 October 2024,
Nepean Highway,EDITHVALE,A,1 October 2024,
Nepean Highway,EDITHVALE,A,1 October 2024,
Dalton Road,EPPING,A,1 October 2024,
Midland Highway,EPSOM,A,1 October 2024,
Bulla Road,ESSENDON NORTH,A,1 October 2024,
Moreland Street,FOOTSCRAY,A,1 October 2024,
Frankston-Dandenong Road,FRANKSTON NORTH,A,1 October 2024,
Frankston-Flinders Road,FRANKSTON SOUTH,A,1 October 2024,
Lincoln Causeway,GATEWAY ISLAND,"A,C",1 October 2024,
Melton Road,GISBORNE,A,1 October 2024,
High Street Road,GLEN WAVERLEY,A,1 October 2024,
Specimen Hill Road,GOLDEN SQUARE,A,1 October 2024,
Oaklands Road,GREENVALE,A,1 October 2024,
Pound Road,HAMPTON PARK,"A,C",1 October 2024,
Warrigal Road,HEATHERTON,A,1 October 2024,
Colac Road,HIGHTON,A,1 October 2024,
Old Geelong Road,HOPPERS CROSSING,A,1 October 2024,
Derrimut Road,HOPPERS CROSSING,"A,C",1 October 2024,
Heaths Road,HOPPERS CROSSING,"A,C",1 October 2024,
Heaths Road,HOPPERS CROSSING,"A,C",1 October 2024,
Heaths Road,HOPPERS CROSSING,"A,C",1 October 2024,
Marong Road,IRONBARK,A,1 October 2024,
Calder Highway,IRYMPLE,A,1 October 2024,
Lower Heidelberg Road,IVANHOE EAST,A,1 October 2024,
High Street,KANGAROO FLAT,A,1 October 2024,
High Street,KANGAROO FLAT,A,1 October 2024,
Goulburn Valley Highway,KATAMATITE,C,1 October 2024,
Green Gully Road,KEILOR DOWNS,A,1 October 2024,
Calder Freeway,KEILOR NORTH,A,1 October 2024,
Keilor Park Drive,KEILOR PARK,A,1 October 2024,
Earl Street,KEW,A,1 October 2024,
Riverview Drive,KIALLA,A,1 October 2024,
Goulburn Valley Highway,KIALLA WEST,A,1 October 2024,
Kilmore - Lancefield Road,KILMORE,A,1 October 2024,
Broadford-Kilmore Road,KILMORE,A,1 October 2024,
Northern Highway,KILMORE,A,1 October 2024,
South Gippsland Highway,KOO WEE RUP,A,1 October 2024,
Gisborne-Melton Road,KURUNJANG,A,1 October 2024,
Allan Street,KYABRAM,A,1 October 2024,
Burton Avenue,KYNETON,A,1 October 2024,
Trentham Road,KYNETON,A,1 October 2024,
Trentham Road,KYNETON,A,1 October 2024,
Bass Highway,LANG LANG,A,1 October 2024,
Bass Highway,LANG LANG,A,1 October 2024,
Old Geelong Road,LAVERTON NORTH,A,1 October 2024,
High Street,LEARMONTH,A,1 October 2024,
Bacchus Marsh Road,LITTLE RIVER,A,1 October 2024,
Dandenong Road,MALVERN,B,1 October 2024,
Calder Highway,MARONG,"A,C",1 October 2024,
Kings Way,MELBOURNE,B,1 October 2024,
Kings Way,MELBOURNE,B,1 October 2024,
Lakeside Drive,MELBOURNE,B,1 October 2024,
Airport Drive,MELBOURNE AIRPORT,A,1 October 2024,
Centenary Avenue,MELTON,A,1 October 2024,
Nepean Highway,MENTONE,A,1 October 2024,
Seventh Street E,MILDURA,"A,C",1 October 2024,
Seventh Street,MILDURA,"A,C",1 October 2024,
Ninth Street,MILDURA,"A,C",1 October 2024,
Eleventh Street,MILDURA,"A,C",1 October 2024,
Eighth Street,MILDURA,A,1 October 2024,
Fifteenth Street,MILDURA,A,1 October 2024,
Ontario Avenue,MILDURA,A,1 October 2024,
Ranfurly Way,MILDURA,A,1 October 2024,
Plenty Road,MILL PARK,A,1 October 2024,
Bungower Road,MOOROODUC,A,1 October 2024,
Bungower Road,MOOROODUC,A,1 October 2024,
Midland Highway,MOOROOPNA,A,1 October 2024,
Mclennan Street,MOOROOPNA,A,1 October 2024,
Moorooduc Highway,MOUNT ELIZA,A,1 October 2024,
Monbulk Road,MOUNT EVELYN,A,1 October 2024,
Esplanade,MOUNT MARTHA,A,1 October 2024,
Wanda Street,MULGRAVE,A,1 October 2024,
Myrtle Street,MYRTLEFORD,"A,C",1 October 2024,
Myrtle Street,MYRTLEFORD,"A,C",1 October 2024,
Princes Freeway,NAR NAR GOON,A,1 October 2024,
Goulburn Valley Highway,NATHALIA,"A,C",1 October 2024,
Goulburn Valley Highway,NATHALIA,"A,C",1 October 2024,
Goulburn Valley Highway,NATHALIA,"A,C",1 October 2024,
Melbourne Road,NORTH GEELONG,A,1 October 2024,
Bowser Road,NORTH WANGARATTA,"A,C",1 October 2024,
Goulburn Valley Highway,NUMURKAH,"A,C",1 October 2024,
Goulburn Valley Highway,NUMURKAH,"A,C",1 October 2024,
Goulburn Valley Highway,NUMURKAH,"A,C",1 October 2024,
Goulburn Valley Highway,NUMURKAH,"A,C",1 October 2024,
Princes Highway,OFFICER,A,1 October 2024,
Snow Road,OXLEY,"A,C",1 October 2024,
Pakenham Road,PAKENHAM,A,1 October 2024,
Princes Highway,PAKENHAM,A,1 October 2024,
Princes Highway,PAKENHAM,A,1 October 2024,
Princes Highway,PAKENHAM,A,1 October 2024,
Princes Highway,PAKENHAM,A,1 October 2024,
Mornington Peninsula Freeway,PATTERSON LAKES,A,1 October 2024,
Hamilton Street,PETERBOROUGH,A,1 October 2024,
Point Cook Road,POINT COOK,A,1 October 2024,
Point Cook Road,POINT COOK,A,1 October 2024,
Great Ocean Road,PORT CAMPBELL,A,1 October 2024,
Great Ocean Road,PORT CAMPBELL,A,1 October 2024,
Todd Road,PORT MELBOURNE,A,1 October 2024,
Cook Street,PORT MELBOURNE,A,1 October 2024,
Webb Dock Drive,PORT MELBOURNE,A,1 October 2024,
Webb Dock Drive,PORT MELBOURNE,A,1 October 2024,
Fitzroy Avenue,RED CLIFFS,"A,C",1 October 2024,
Jacaranda Street,RED CLIFFS,A,1 October 2024,
Point Nepean Road,ROSEBUD,A,1 October 2024,
Melbourne Road,RYE,A,1 October 2024,
Melbourne Road,RYE,A,1 October 2024,
Mccormicks Road,SANDHURST,A,1 October 2024,
Mccormicks Road,SANDHURST,A,1 October 2024,
Nepean Highway,SEAFORD,A,1 October 2024,
Frankston-Dandenong Road,SEAFORD,A,1 October 2024,
Goulburn Valley Highway,SEYMOUR,A,1 October 2024,
Goulburn Valley Highway,SEYMOUR,A,1 October 2024,
Tallarook Street,SEYMOUR,A,1 October 2024,
Anzac Avenue,SEYMOUR,A,1 October 2024,
Emily Street,SEYMOUR,A,1 October 2024,
High Street,SEYMOUR,A,1 October 2024,
Bungower Road,SOMERVILLE,A,1 October 2024,
Frankston-Flinders Road,SOMERVILLE,A,1 October 2024,
Hotham Road,SORRENTO,A,1 October 2024,
Albert Road,SOUTH MELBOURNE,B,1 October 2024,
Lakeside Drive,ST KILDA,A,1 October 2024,
Lakeside Drive,ST KILDA,B,1 October 2024,
Goulburn Valley Highway,STRATHMERTON,"A,C",1 October 2024,
Goulburn Valley Highway,STRATHMERTON,"A,C",1 October 2024,
Calder Park Drive,SYDENHAM,A,1 October 2024,
Sayers Road,TARNEIT,"A,C",1 October 2024,
Tarneit Road,TARNEIT,"A,C",1 October 2024,
Tarneit Road,TARNEIT,"A,C",1 October 2024,
Tarneit Road,TARNEIT,"A,C",1 October 2024,
Tarneit Road,TARNEIT,"A,C",1 October 2024,
Tarneit Road,TARNEIT,"A,C",1 October 2024,
Melton Highway,TAYLORS LAKES,A,1 October 2024,
Sayers Road,TRUGANINA,"A,C",1 October 2024,
Western Freeway,TRUGANINA,A,1 October 2024,
Melrose Drive,TULLAMARINE,A,1 October 2024,
Sharps Road,TULLAMARINE,A,1 October 2024,
Mornington-Tyabb Road,TYABB,A,1 October 2024,
Frankston-Flinders Road,TYABB,A,1 October 2024,
Wangaratta-Yarrawonga Road,WALDARA,"A,C",1 October 2024,
Watson Street,WALLAN,A,1 October 2024,
Watson Street,WALLAN,A,1 October 2024,
Northern Highway,WALLAN,A,1 October 2024,
Rowan Street,WANGARATTA,"A,C",1 October 2024,
Wangaratta-Whitfield Road,WANGARATTA,"A,C",1 October 2024,
Tone Road,WANGARATTA,"A,C",1 October 2024,
Wangaratta-Whitfield Road,WANGARATTA,"A,C",1 October 2024,
Burwood Highway,WANTIRNA,A,1 October 2024,
Burwood Highway,WANTIRNA SOUTH,A,1 October 2024,
Tarneit Road,WERRIBEE,"A,C",1 October 2024,
Princes Highway,WERRIBEE,"A,C",1 October 2024,
Princes Highway,WERRIBEE,"A,C",1 October 2024,
Princes Highway,WERRIBEE,"A,C",1 October 2024,
Wellington Road,WHEELERS HILL,A,1 October 2024,
Ferntree Gully Road,WHEELERS HILL,A,1 October 2024,
Beechworth Road,WODONGA,"A,C",1 October 2024,
Bandiana Link,WODONGA,"A,C",1 October 2024,
Bandiana Link,WODONGA,"A,C",1 October 2024,
Beechworth Road,WODONGA,"A,C",1 October 2024,
Hume Freeway,WODONGA,"A,C",1 October 2024,
Craigieburn Road,WOLLERT,A,1 October 2024,
Goulburn Valley Highway,WUNGHNU,"A,C",1 October 2024,
Goulburn Valley Highway,WUNGHNU,"A,C",1 October 2024,
Goulburn Valley Highway,WUNGHNU,"A,C",1 October 2024,
Goulburn Valley Highway,WUNGHNU,"A,C",1 October 2024,
Goulburn Valley Highway,YARRAWONGA,C,1 October 2024,
Goulburn Valley Highway,YARRAWONGA,C,1 October 2024,
Goulburn Valley Highway,YARRAWONGA,C,1 October 2024,
Goulburn Valley Highway,YARRAWONGA,C,1 October 2024,
Goulburn Valley Highway,YIELIMA,"A,C",1 October 2024,
,,,,
,,,,
 Reason Key ,,,,
A - Documented history of collisions or road trauma within the previous 3 years ,,,,
"B - Validated complaints of drivers using portable devices illegally, or with the improper wearing of seatbelts.",,,,
C - Identified by Police as deemed necessary. ,,,,
D - the road environment and physical characteristic is likely to encourage a higher frequency of driver distraction or improper wearing of seatbelts behaviour,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Humffray Street N,Brown Hill,,,