Suburb,Camera Count
MILDURA,21
RESERVOIR,17
ST ALBANS,17
HAMILTON,14
MANSFIELD,13
SEYMOUR,13
WOLLERT,13
MELTON,12
PAKENHAM,12
WERRIBEE,12
WODONGA,12
PORTLAND,11
MALVERN EAST,11
FRANKSTON,11
CRAIGIEBURN,11
PRESTON,10
WARRAGUL,10
GOLDEN SQUARE,10
SUNBURY,10
IRYMPLE,10
PORT MELBOURNE,9
WARRNAMBOOL,9
SUNSHINE,9
SWAN HILL,9
WANGARATTA,9
SALE,9
EPPING,9
LANGWARRIN,9
MERNDA,8
ARARAT,8
HOPPERS CROSSING,8
ALTONA,8
HORSHAM,7
MARYBOROUGH,7
KEYSBOROUGH,7
BENALLA,7
GLENROY,7
KEW,7
ECHUCA,7
BERWICK,7
BALLARAT,7
SOUTH MORANG,7
ROSEBUD,7
MORWELL,7
GREENVALE,7
BUNDOORA,7
TOORAK,7
CARRUM DOWNS,6
ALBERT PARK,6
BRIGHTON EAST,6
ESSENDON,6
NOBLE PARK,6
COBURG,6
CASTLEMAINE,6
PASCOE VALE,6
PEARCEDALE,6
GLEN IRIS,6
SUNSHINE WEST,6
BANGHOLME,6
STRATHMORE,6
MICKLEHAM,6
BAIRNSDALE,6
SUNSHINE NORTH,6
LILYDALE,5
GROVEDALE,5
LALOR,5
TAYLORS LAKES,5
MALVERN,5
MAFFRA,5
CROYDON,5
THORNBURY,5
HIGHTON,5
OAKLEIGH SOUTH,5
GREENSBOROUGH,5
BROADFORD,5
KANGAROO FLAT,5
HASTINGS,5
CAROLINE SPRINGS,5
MILL PARK,5
SPRINGVALE,5
ELWOOD,5
ASCOT,5
ASCOT VALE,5
AVENEL,5
KENNINGTON,5
FAWKNER,5
CLAYTON,5
RED CLIFFS,5
KERANG,5
BACCHUS MARSH,5
NEWBOROUGH,5
WALLAN,5
SHEPPARTON,5
SYDENHAM,5
DROMANA,5
MOUNT WAVERLEY,5
GLEN WAVERLEY,5
MELTON SOUTH,5
EAST BENDIGO,5
TRUGANINA,5
NARRE WARREN,5
TYABB,4
BRUNSWICK,4
CLARINDA,4
KEILOR DOWNS,4
TEMPLESTOWE,4
TULLAMARINE,4
CHELTENHAM,4
POREPUNKAH,4
KEILOR PARK,4
TOOLERN VALE,4
HEIDELBERG HEIGHTS,4
COBRAM,4
TORQUAY,4
CORIO,4
CLYDE,4
TRARALGON,4
CALIFORNIA GULLY,4
KILMORE,4
MURCHISON,4
KANGAROO GROUND,4
BRIGHTON,4
STRATHFIELDSAYE,4
BLACKBURN SOUTH,4
EPSOM,4
ELTHAM,4
MACLEOD,4
SOUTH YARRA,4
EILDON,4
DINGLEY VILLAGE,4
MAIDSTONE,4
LONGWARRY,4
SEAFORD,4
BENTLEIGH EAST,4
YAN YEAN,4
MOE,4
MITCHAM,4
MELBOURNE,4
BALWYN,4
EAST MELBOURNE,4
EAGLEHAWK,4
LONGFORD,4
ALTONA NORTH,4
EUROA,4
HAMPTON,4
LEOPOLD,4
MOUNT MARTHA,4
TAYLORS HILL,4
SPRINGVALE SOUTH,4
ROXBURGH PARK,4
MOUNT ELIZA,4
ROWVILLE,4
WHEELERS HILL,4
WHITE HILLS,4
WHITTLESEA,4
OCEAN GROVE,4
MORNINGTON,4
SOUTH MELBOURNE,3
SPRING GULLY,3
KALKALLO,3
JACKASS FLAT,3
SANDRINGHAM,3
SOMERVILLE,3
TRAFALGAR,3
HAMPTON PARK,3
DEER PARK,3
HEALESVILLE,3
DELAHEY,3
HEATHERTON,3
CRANBOURNE,3
TOOTGAROOK,3
ROBINVALE,3
RYE,3
IVANHOE,3
DIAMOND CREEK,3
DIGGERS REST,3
INVERLOCH,3
COBURG NORTH,3
THOMASTOWN,3
SEASPRAY,3
DONVALE,3
DROUIN,3
DEVON MEADOWS,3
MULGRAVE,3
MAIDEN GULLY,3
NOBLE PARK NORTH,3
MELTON WEST,3
KOORLONG,3
MONTMORENCY,3
BALLAN,3
MILDURA SOUTH,3
BEACONSFIELD,3
WESTMEADOWS,3
KURUNJANG,3
KYABRAM,3
KYNETON,3
BITTERN,3
MIDDLE PARK,3
MERTON,3
NEWCOMB,3
BULLA,3
BARANDUDA,3
BRUNSWICK WEST,3
MERBEIN,3
PARKVILLE,3
LANG LANG,3
WOODSTOCK,3
KOONDROOK,3
AVONDALE HEIGHTS,3
MONTROSE,3
MOOROOPNA,3
BEVERIDGE,3
NUMURKAH,3
KEILOR,3
CAULFIELD SOUTH,3
KEILOR EAST,3
ALTONA MEADOWS,3
NUNAWADING,3
LOWER PLENTY,3
MORDIALLOC,3
WANTIRNA SOUTH,3
KINGS PARK,3
PLUMPTON,3
CHELSEA HEIGHTS,3
YARRAMBAT,3
BROOKFIELD,3
BENTLEIGH,3
CAMPBELLFIELD,3
MARONG,2
MARYSVILLE,2
MARYVALE,2
MCCRAE,2
NORLANE,2
NORTH WANGARATTA,2
MAINDAMPLE,2
GORDON,2
SHEPPARTON EAST,2
NORTH BENDIGO,2
QUARRY HILL,2
GISBORNE,2
GHERINGHAP,2
MURCHISON EAST,2
ST ARNAUD,2
MURRUMBEENA,2
NAGAMBIE,2
MOUNT DUNEED,2
NAR NAR GOON,2
FERNTREE GULLY,2
MOORABBIN,2
NARRE WARREN SOUTH,2
SPOTSWOOD,2
MOOLAP,2
FOOTSCRAY,2
NATHALIA,2
MIEPOLL,2
SORRENTO,2
SKYE,2
MERRIJIG,2
MERBEIN SOUTH,2
MENTONE,2
FRANKSTON SOUTH,2
HADFIELD,2
NOWA NOWA,2
INVERMAY PARK,2
ROKEWOOD,2
ROCKBANK,2
PETERBOROUGH,2
HEYFIELD,2
PIANGIL,2
HIGHETT,2
PIRIES,2
KOO WEE RUP,2
RICHMOND,2
PIRRON YALLOCK,2
POINT COOK,2
REDAN,2
MACEDON,2
IRONBARK,2
KILMORE EAST,2
ST HELENA,2
KIALLA,2
KEW EAST,2
KENSINGTON,2
PRAHRAN,2
KEALBA,2
JAMIESON,2
RAVENSWOOD SOUTH,2
RAVENSWOOD,2
PEECHELBA,2
LAKE BOGA,2
PATTERSON LAKES,2
ROMSEY,2
SAFETY BEACH,2
LYNDHURST,2
NYAH,2
LONG GULLY,2
OFFICER,2
HALLAM,2
ORBOST,2
OUYEN,2
LENEVA,2
LEITCHVILLE,2
LEARMONTH,2
PANTON HILL,2
LANGWARRIN SOUTH,2
PARKDALE,2
HATTAH,2
HAVELOCK,2
HAVEN,2
HAWTHORN,2
HAWTHORN EAST,2
PARWAN,2
HAZELWOOD NORTH,2
PASCOE VALE SOUTH,2
ROSANNA,2
KIEWA,2
LARA,2
ST KILDA,2
TYLDEN,2
CLAYTON SOUTH,2
CLIFTON SPRINGS,2
BEAUMARIS,2
BEAUFORT,2
COHUNA,2
COIMADAI,2
COLAC,2
BAXTER,2
TRAGOWEL,2
BROWN HILL,2
COOLAROO,2
BATESFORD,2
BARWON HEADS,2
CRANBOURNE EAST,2
BARNAWARTHA NORTH,2
CRANBOURNE SOUTH,2
WOORI YALLOCK,2
THORNTON,2
DALLAS,2
DANDENONG NORTH,2
DANDENONG SOUTH,2
WOOROONOOK,2
BANNOCKBURN,2
DEDERANG,2
BANDIANA,2
BALWYN NORTH,2
DENISON,2
WONTHAGGI,2
BEVERFORD,2
TATURA,2
BIRCHIP,2
WEST FOOTSCRAY,2
BUNDALONG,2
WATSONIA,2
BUNKERS HILL,2
BRIDGE CREEK,2
WARRENHEIP,2
BOX HILL SOUTH,2
BOX HILL NORTH,2
BURWOOD,2
BOX HILL,2
BOWSER,2
CAMBERWELL,2
BONNIE DOON,2
WANTIRNA,2
CAMPBELLS CREEK,2
WALLINGTON,2
CAPEL SOUND,2
WAHRING,2
BLACKBURN NORTH,2
CARLSRUHE,2
WINDSOR,2
BLACK ROCK,2
CASTERTON,2
VIEWBANK,2
CAULFIELD NORTH,2
CHADSTONE,2
VENTNOR,2
TAWONGA,2
CONNEWARRE,2
YARRAM,2
EAST GEELONG,2
STRATH CREEK,2
STRATHMERTON,2
ARMADALE,2
DOREEN,2
ELMORE,2
EAGLEMONT,2
YARRAVILLE,2
ALEXANDRA,2
ALBION,2
YARRAWONGA,2
ELTHAM NORTH,2
DONALD,2
YARRA GLEN,2
STAWELL,2
ENDEAVOUR HILLS,2
BALLARAT NORTH,2
BALLARAT EAST,2
WYNDHAM VALE,2
TARNEIT,2
DERRIMUT,2
TALLYGAROOPNA,2
YALLAMBIE,2
WILLOW GROVE,1
YIELIMA,1
YEODENE,1
MYRTLEBANK,1
OAKLEIGH,1
NAMBROK,1
WILLIAMSTOWN,1
MYSTIC PARK,1
NULLAWIL,1
WINCHELSEA,1
OAKLANDS JUNCTION,1
OAK PARK,1
WINDERMERE,1
WILLIAMSTOWN NORTH,1
WILKIN,1
MYRTLEFORD,1
YULECART,1
MYOLA,1
WUNGHNU,1
OAKLEIGH EAST,1
WESTGARTH,1
WESBURN,1
WEST BENDIGO,1
YUROKE,1
PARK ORCHARDS,1
WEST MELBOURNE,1
PANITYA,1
WESTBY,1
MURGHEBOLUC,1
PAKENHAM UPPER,1
MURRAYVILLE,1
WICKLIFFE,1
MURROON,1
WESTMERE,1
OXLEY,1
WHARPARILLA,1
OVENS,1
MYERS FLAT,1
OMEO,1
OLD TOOLAMBA,1
WHOROULY,1
YELTA,1
YEA,1
WINGEEL,1
NANDALY,1
NILMA NORTH,1
NILMA,1
NIDDRIE,1
NEWTOWN,1
NARRUNG,1
YARRABERB,1
NEWSTEAD,1
NEWPORT,1
WOODVALE,1
YARCK,1
YANAKIE,1
NAVIGATORS,1
YALLOURN NORTH,1
WOORINEN NORTH,1
NEERIM JUNCTION,1
WOORINEN SOUTH,1
NEWMERELLA,1
NEWLYN,1
NEERIM SOUTH,1
WYUNA,1
WOOSANG,1
NEWBRIDGE,1
WYCHEPROOF SOUTH,1
NARRE WARREN NORTH,1
WOODFIELD,1
WOODEND NORTH,1
NORTH MELBOURNE,1
WINNINDOO,1
YELLINGBO,1
NANGANA,1
NORTHCOTE,1
WINTON NORTH,1
WISELEIGH,1
NORTH WARRANDYTE,1
NAPOLEONS,1
WODONGA WEST,1
WONGA PARK,1
NORTH GEELONG,1
NARRE WARREN EAST,1
WONGARRA,1
YATPOOL,1
NOORINBEE,1
NARBETHONG,1
WONWONDAH NORTH,1
WOOD WOOD,1
WOODEND,1
NARRAWONG,1
NINDA,1
YARRARA,1
WENDOUREE,1
WARRACKNABEAL,1
WELSHPOOL,1
RUBY,1
SCORESBY,1
SAWMILL SETTLEMENT,1
TALLANGATTA,1
SARSFIELD,1
TALLAROOK,1
SANDHURST,1
SANDFORD,1
TANWOOD,1
SAILORS GULLY,1
TARADALE,1
RUSHWORTH,1
TARRAWINGEE,1
TARWIN LOWER,1
RUNNING CREEK,1
TAWONGA SOUTH,1
WEERING,1
ROSS CREEK,1
TEAL POINT,1
TEDDYWADDY,1
ROSEDALE,1
TERANG,1
THE BASIN,1
THE GURDIES,1
TOLMIE,1
TOOBORAC,1
TOOLLEEN,1
TOORADIN,1
TORRUMBARRY,1
TOSTAREE,1
TOWONG,1
SEA LAKE,1
TALBOT,1
TAGGERTY,1
SEVILLE,1
STAGHORN FLAT,1
ST ANDREWS,1
STEWARTON,1
STONEHAVEN,1
SPRINGDALLAH,1
STRADBROKE,1
STRATFORD,1
STRATHALLAN,1
STRATHTULLOH,1
STREATHAM,1
SULKY,1
SOMERTON,1
SMYTHESDALE,1
SMYTHES CREEK,1
SMOKO,1
SMITHS GULLY,1
SKIPTON,1
SKENES CREEK,1
SILVER CREEK,1
SILVAN,1
SURF BEACH,1
SHEPPARTON NORTH,1
SURREY HILLS,1
SWAN REACH,1
SWANPOOL,1
SHELBOURNE,1
SWANWATER,1
SWIFTS CREEK,1
SHEEP HILLS,1
ROCHESTER,1
TOWONG UPPER,1
RIVERSIDE,1
WALDARA,1
PORT FAIRY,1
WANALTA,1
PORT CAMPBELL,1
WANNON,1
POMONAL,1
POMBORNEIT,1
POINT LONSDALE,1
WARGAN,1
WARNE,1
PITTONG,1
WARNEET,1
ST GERMAINS,1
WARRAGUL SOUTH,1
PICOLA,1
WARRANDYTE,1
PIANGIL WEST,1
WARRAYURE,1
PIAMBIE,1
PHEASANT CREEK,1
WATERWAYS,1
PERRY BRIDGE,1
PENSHURST,1
WATSONIA NORTH,1
PEDERICK,1
WATSONS CREEK,1
PAYNESVILLE,1
WATTLE BANK,1
WAYGARA,1
WEE WEE RUP,1
WALPEUP,1
PORTARLINGTON,1
RIPPONLEA,1
WAGANT,1
TRAFALGAR SOUTH,1
RIPPLEBROOK,1
RINGWOOD NORTH,1
RESEARCH,1
TRARALGON EAST,1
TRARALGON SOUTH,1
TRENTHAM,1
RED HILL,1
TRESCO,1
TREWALLA,1
RED BLUFF,1
RAYWOOD,1
TYNONG,1
TYNONG NORTH,1
RAVENHALL,1
TYRENDARRA,1
UNDERA,1
UNDERBOOL,1
UPWEY,1
QUANTONG,1
PYALONG,1
PURNIM,1
PUCKAPUNYAL,1
VERMONT,1
VERMONT SOUTH,1
POUND CREEK,1
VINIFERA,1
PORTSEA,1
VIOLET TOWN,1
ST LEONARDS,1
AIRPORT WEST,1
MUMBANNAR,1
COROP,1
COBBLEBANK,1
COBRAM EAST,1
COCKATOO,1
COLBINABBIN,1
COLDSTREAM,1
COLERAINE,1
CONGUPNA,1
CORINDHAP,1
CORONET BAY,1
CORRYONG,1
CLYDEBANK,1
COTTLES BRIDGE,1
COWANGIE,1
COWWARR,1
CRANBOURNE NORTH,1
CRANBOURNE WEST,1
CRESSY,1
CRIB POINT,1
CUDGEWA,1
CULGOA,1
COBAINS,1
CLUNES,1
EUROBIN,1
CAVENDISH,1
CAPE CLEAR,1
CARAPOOEE,1
CARDIGAN,1
CARDROSS,1
CARINA,1
CARISBROOK,1
CARRANBALLAC,1
CATHKIN,1
CAULFIELD EAST,1
CHELSEA,1
CLUB TERRACE,1
CHELTENHAM NORTH,1
CHILTERN,1
CHIRNSIDE PARK,1
CHRISTMAS HILLS,1
CHUM CREEK,1
CHURCHILL,1
CLARENDON,1
CLARKEFIELD,1
CLIFTON HILL,1
CURLEWIS,1
DADSWELLS BRIDGE,1
DAHLEN,1
ECHUCA VILLAGE,1
DRYSDALE,1
DUMOSA,1
DUNKELD,1
DUNOLLY,1
DURHAM OX,1
DUTSON,1
EAST WANGARATTA,1
EAST WARBURTON,1
EBDEN,1
EDEN PARK,1
DAISY HILL,1
EDENHOPE,1
EDITHVALE,1
ELAINE,1
ELMHURST,1
ELPHINSTONE,1
ELSTERNWICK,1
ESKDALE,1
ESSENDON NORTH,1
ESSENDON WEST,1
DRUNG DRUNG SOUTH,1
DRUNG,1
DRUMBORG,1
DROUIN WEST,1
DALYSTON,1
DARLEY,1
DARNUM,1
DEEP LEAD,1
DELACOMBE,1
DENICULL CREEK,1
DENVER,1
DERBY,1
DEVENISH,1
DEVLIN BRIDGE,1
DEWHURST,1
DHURRINGILE,1
DIMBOOLA,1
DIXONS CREEK,1
DOCKLANDS,1
DOCTORS FLAT,1
DONCASTER,1
DONCASTER EAST,1
DRIFFIELD,1
CANTERBURY,1
CANARY ISLAND SOUTH,1
CAMPBELLTOWN,1
BAYSWATER NORTH,1
BALMORAL,1
BARAWARTHA,1
BAREP,1
BARJARG,1
BARKERS CREEK,1
BARNAWARTHA,1
BARONGAROOK,1
BARWON DOWNS,1
BAYLES,1
BELL PARK,1
BIRREGURRA,1
BELMONT,1
BENDIGO,1
BENGWORDEN,1
BEREMBOKE,1
BERRINGAMA,1
BERRIWILLOCK,1
BERRYBANK,1
BERRYS CREEK,1
BIG HILL,1
BALLIANG EAST,1
BALLARAT CENTRAL,1
BALD HILLS,1
BAGSHOT,1
ALBERTON,1
ALFREDTON,1
ALLANSFORD,1
ALPHINGTON,1
AMPHITHEATRE,1
ANGLESEA,1
APOLLO BAY,1
APSLEY,1
ARCADIA SOUTH,1
ARDEER,1
ARGYLE,1
ARMSTRONG,1
ARMSTRONG CREEK,1
ARTHURS CREEK,1
ASPENDALE GARDENS,1
AVONMORE,1
AXE CREEK,1
AXEDALE,1
BADGER CREEK,1
BIRDWOODTON,1
BLACK HILL,1
CAMPBELLS FOREST,1
BURNSIDE,1
BRUNSWICK EAST,1
BUANGOR,1
BUFFALO,1
BULLAROOK,1
BULLIOH,1
BUNBARTHA,1
BUNDING,1
BUNYIP,1
BUNYIP NORTH,1
BURRAMINE,1
BLACKBURN,1
BURRUMBEET,1
BUXTON,1
BYADUK,1
BYLANDS,1
BYRNESIDE,1
BYRNEVILLE,1
CABARITA,1
CABBAGE TREE CREEK,1
CAMBRIAN HILL,1
BROWNS PLAINS,1
BROOKLYN,1
BRONZEWING,1
BROADMEADOWS,1
BLAIRGOWRIE,1
BLAMPIED,1
BLIND BIGHT,1
BOINKA,1
BONEGILLA,1
BOORONGIE NORTH,1
BORALMA,1
BORONIA,1
BOTANIC RIDGE,1
BOUNDARY BEND,1
BOWMANS FOREST,1
BRAESIDE,1
BRANXHOLME,1
BREAKWATER,1
BRIDGEWATER,1
BRIDGEWATER ON LODDON,1
BRIGHT,1
BRIMIN,1
BRIMPAEN,1
EUMEMMERRING,1
EVERSLEY,1
MUDGEGONGA,1
LOCKWOOD,1
LEIGH CREEK,1
LEONGATHA SOUTH,1
LIMA,1
LIMESTONE,1
LINDENOW,1
LISMORE,1
LITTLE RIVER,1
LOCHIEL,1
LOCKSLEY,1
LONG FOREST,1
LAWLOIT,1
LONGLEA,1
LONGWARRY NORTH,1
LORNE,1
LUCAS,1
LUCKNOW,1
LYNBROOK,1
LYSTERFIELD,1
MACORNA,1
MAGPIE,1
LEICHARDT,1
LAVERTON NORTH,1
EXFORD,1
LACEBY,1
KNOXFIELD,1
KOONOOMOO,1
KOOREH,1
KORIELLA,1
KORWEINGUBOORA,1
KOTUPNA,1
KULWIN,1
KURTING,1
KYVALLEY,1
LADYS PASS,1
ALBANVALE,1
LAKE BOLAC,1
LAKE CHARM,1
LAKE GOLDSMITH,1
LAKE POWELL,1
LAKES ENTRANCE,1
LALBERT,1
LAMPLOUGH,1
LANCEFIELD,1
LANG LANG SOUTH,1
MALDON,1
MALMSBURY,1
MANANGATANG,1
MOUNT EVELYN,1
MOONEE PONDS,1
MOORABBIN AIRPORT,1
MOORABBIN EAST,1
MOORALLA,1
MOOROODUC,1
MOOROOPNA NORTH,1
MORIAC,1
MORTLAKE,1
MOUNT BEAUTY,1
MOUNT FRANKLIN,1
MANDURANG,1
MOUNT HELEN,1
MOUNT PROSPECT,1
MOUNT RICHMOND,1
MOUNT ROWAN,1
MOUNT WALLACE,1
MOUTAJUP,1
MOYHU,1
MOYSTON,1
MUCKLEFORD,1
MOONDARRA,1
MOOLERR,1
MOLESWORTH,1
MOKEPILLY,1
MANGALORE,1
MANNERIM,1
MANORINA,1
MARKWOOD,1
MARLO,1
MAROONA,1
MCKENZIE RIVER,1
MCKINNON,1
MCMAHONS CREEK,1
MEAD,1
MEADOW HEIGHTS,1
MELBOURNE AIRPORT,1
MERBEIN WEST,1
MERINGUR,1
MERRINEE,1
MIRAM,1
MIRAM SOUTH,1
MIRBOO NORTH,1
MITTYACK,1
KNOWSLEY,1
KINIMAKATKA,1
KINGSBURY,1
GLENGARRY WEST,1
GERANG GERUNG,1
GILLIESTON,1
GISBORNE SOUTH,1
GLADSTONE PARK,1
GLEN HUNTLY,1
GLENALBYN,1
GLENBURN,1
GLENFYNE,1
GLENGARRY,1
GLENORCHY,1
GREAT WESTERN,1
GLENTHOMPSON,1
GLENVALE,1
GOORAM,1
GOORAMBAT,1
GOORNONG,1
GRAHAMVALE,1
GRANITE ROCK,1
GRANTON,1
GRASSMERE,1
GENOA,1
GEELONG,1
GATEWAY ISLAND,1
GARFIELD,1
EYNESBURY,1
FAIRFIELD,1
FAIRLEY,1
FALLS CREEK,1
FARADAY,1
FISHERMENS BEND,1
FIVE WAYS,1
FLINDERS,1
FLORA HILL,1
FLYNN,1
FLYNNS CREEK UPPER,1
FOREST HILL,1
FRANKSTON NORTH,1
FRASER RISE,1
FULHAM,1
GAMA,1
GANNAWARRA,1
GAPSTED,1
GARDEN CITY,1
GRAYTOWN,1
GREENWALD,1
KINGLAKE WEST,1
KEILOR NORTH,1
JARKLIN,1
JOHNSONVILLE,1
JUNORTOUN,1
KALPIENUNG,1
KANUMBRA,1
KARADOC,1
KARAWINNA,1
KARNAK,1
KATAMATITE,1
KENLEY,1
GUNBOWER,1
KEON PARK,1
KERANG EAST,1
KERANG SOUTH,1
KERGUNYAH,1
KIALLA WEST,1
KILLAWARRA,1
KILSYTH,1
KING VALLEY,1
KINGLAKE CENTRAL,1
JALLUKAR,1
JACANA,1
IVANHOE EAST,1
IRREWILLIPE,1
GYPSUM,1
HADDON,1
HALLS GAP,1
HARCOURT,1
HARRIETVILLE,1
HEATHCOTE,1
HEDLEY,1
HEIDELBERG WEST,1
HERNE HILL,1
HEYWOOD,1
HIGH CAMP,1
HILLSIDE,1
HOMEWOOD,1
HOWQUA,1
HUGHESDALE,1
HUNTINGDALE,1
HUNTLY,1
HURSTBRIDGE,1
IRAAK,1
ZEERUST,1
